                        Nombre_de_la_prueba: MF1-1:1

  Datos_de_entrada
  b      15.0000     lm      96.0000    hc     15.0000
  fpc      280.000
 tipo_acero: G42RB                                              rho     9.844748E-04
      Datos del acero
  diámetro      núm._de_barras         profundidad
     0.950000         1.00000         7.50000
     0.950000         1.00000         88.5000
 altura_ini_fin_mod      7.50000         88.5000

 datos_estribos

 Criterios_de_iteración
 iter_máx_para_C     1000.00     núm.de_fibras:      2000.00

                 Resultados

                          Criterio_falla_concreto_NO_confinado
  Momento         Carga_axial             eje_Neutro              phi

      4443.74         16.8727         79.4003        5.464615E-06
      4415.63         16.7218         79.3003        5.431893E-06
      4394.45         16.6061         79.2003        5.399560E-06
      4366.86         16.4582         79.1003        5.367609E-06
      4346.09         16.3449         79.0003        5.336035E-06
      4319.00         16.1999         78.9003        5.304831E-06
      4298.65         16.0890         78.8003        5.273988E-06
      4272.07         15.9468         78.7003        5.243503E-06
      4252.10         15.8382         78.6003        5.213368E-06
      4226.01         15.6988         78.5003        5.183577E-06
      4206.41         15.5924         78.4003        5.154125E-06
      4180.80         15.4556         78.3003        5.125006E-06
      4161.58         15.3514         78.2003        5.096213E-06
      4136.43         15.2173         78.1003        5.067743E-06
      4117.56         15.1151         78.0003        5.039589E-06
      4092.85         14.9835         77.9003        5.011746E-06
      4074.34         14.8833         77.8003        4.984209E-06
      4050.07         14.7542         77.7003        4.956973E-06
      4031.91         14.6560         77.6003        4.930033E-06
      4008.05         14.5292         77.5003        4.903384E-06
      3990.21         14.4329         77.4003        4.877022E-06
      3966.78         14.3085         77.3003        4.850941E-06
      3949.26         14.2140         77.2003        4.825139E-06
      3926.22         14.0919         77.1003        4.799609E-06
      3909.01         13.9992         77.0003        4.774347E-06
      3886.38         13.8792         76.9003        4.749351E-06
      3869.48         13.7883         76.8003        4.724615E-06
      3847.23         13.6705         76.7003        4.700135E-06
      3830.61         13.5813         76.6003        4.675907E-06
      3808.73         13.4655         76.5003        4.651929E-06
      3792.41         13.3779         76.4003        4.628194E-06
      3770.89         13.2642         76.3003        4.604701E-06
      3754.85         13.1782         76.2003        4.581445E-06
      3733.69         13.0665         76.1003        4.558422E-06
      3717.93         12.9821         76.0003        4.535630E-06
      3697.12         12.8723         75.9003        4.513065E-06
      3681.62         12.7894         75.8003        4.490723E-06
      3661.14         12.6815         75.7003        4.468601E-06
      3645.90         12.6000         75.6003        4.446696E-06
      3625.76         12.4939         75.5003        4.425005E-06
      3610.76         12.4139         75.4003        4.403525E-06
      3590.92         12.3097         75.3003        4.382252E-06
      3576.20         12.2310         75.2003        4.361183E-06
      3556.69         12.1284         75.1003        4.340316E-06
